0,0,0
153,255,173
163,255,173
163,255,163
163,255,173
163,255,173
163,255,163
153,255,173
153,255,173
153,255,173
153,255,173
153,255,173
153,255,173
163,255,173
163,255,173
163,255,173
163,255,173
163,255,173
163,255,173
163,255,163
153,255,173
163,255,173
163,255,173
163,255,173
163,255,163
163,255,163
153,255,173
153,255,173
163,255,173
163,255,173
163,255,163
163,255,173
163,255,163
163,255,173
153,255,173
163,255,173
163,255,173
163,255,173
163,255,173
163,245,173
153,255,173
153,255,173
163,255,173
163,255,163
163,255,173
163,255,173
153,255,173
163,255,173
163,255,173
163,255,173
163,255,173
163,255,173
153,255,173
163,255,173
163,265,173
163,255,173
163,265,173
163,245,173
163,255,173
163,255,173
173,255,173
173,255,173
173,255,173
184,265,184
173,265,184
184,286,184
184,286,184
184,306,184
184,306,184
184,317,184
173,327,184
184,327,184
184,337,184
184,337,184
184,337,184
184,347,184
184,347,184
184,358,184
184,358,184
184,368,184
184,358,184
184,358,184
184,347,184
184,347,184
184,337,184
194,337,184
194,337,184
194,337,184
184,337,184
194,337,184
194,337,184
184,347,184
184,347,184
194,347,184
194,347,184
194,347,184
194,337,173
194,347,184
194,358,184
184,347,184
194,358,184
194,358,173
194,347,184
194,358,173
194,358,184
194,347,184
184,347,184
194,347,184
194,347,184
194,347,184
194,327,184
184,337,184
194,327,184
184,347,184
194,347,184
194,337,184
194,337,184
194,337,184
194,337,184
194,337,184
194,337,184
194,337,184
194,337,173
194,337,184
194,337,184
194,337,184
194,337,184
194,337,184
194,337,184
194,337,184
194,327,184
194,327,184
194,327,184
194,327,184
194,327,184
194,327,184
194,327,184
194,327,184
194,317,184
184,317,184
184,306,184
184,306,184
184,306,184
184,296,184
184,296,184
184,296,184
184,286,184
184,276,184
173,265,173
173,265,184
163,255,184
163,255,184
153,255,184
153,255,173
153,265,163
163,255,163
163,255,163
163,265,173
173,255,163
173,255,173
163,255,163
173,255,163
173,255,173
173,255,163
163,255,163
163,255,173
173,255,173
173,255,173
173,245,173
173,245,173
163,255,163
173,255,163
163,255,163
173,255,163
163,255,163
173,255,173
163,255,163
163,245,163
163,255,163
163,255,163
163,255,163
163,245,163
163,255,163
163,255,163
163,255,163
163,245,173
173,255,163
163,255,163
173,255,173
163,255,163
163,255,163
163,255,163
163,255,163
173,255,163
163,255,163
163,255,163
153,255,163
163,255,163
163,255,163
163,255,163
